UF,Consumo,Mes,Ano
Rio Grande do Norte,156574.0,JUL,2011.0
Paraíba,131959.0,JUL,2011.0
Pernambuco,369555.0,JUL,2011.0
Alagoas,102034.0,JUL,2011.0
Sergipe,80480.0,JUL,2011.0
Bahia,512981.0,JUL,2011.0
Minas Gerais,806854.0,JUL,2011.0
Espírito Santo,169429.0,JUL,2011.0
Rio de Janeiro,940957.0,JUL,2011.0
São Paulo,2996482.0,JUL,2011.0
Paraná,567188.0,JUL,2011.0
Santa Catarina,381554.0,JUL,2011.0
Rio Grande do Sul,656946.0,JUL,2011.0
Mato Grosso do Sul,125565.0,JUL,2011.0
Mato Grosso,184325.0,JUL,2011.0
Goiás,329680.0,JUL,2011.0
Distrito Federal,180069.0,JUL,2011.0
Rondônia,99793.0,AGO,2011.0
Acre,36309.0,AGO,2011.0
Amazonas,184892.0,AGO,2011.0
Roraima,35141.0,AGO,2011.0
Pará,290433.0,AGO,2011.0
Amapá,48083.0,AGO,2011.0
Tocantins,69297.0,AGO,2011.0
Maranhão,243396.0,AGO,2011.0
Piauí,124533.0,AGO,2011.0
Ceará,319589.0,AGO,2011.0
Rio Grande do Norte,153247.0,AGO,2011.0
Paraíba,138113.0,AGO,2011.0
Pernambuco,349273.0,AGO,2011.0
Alagoas,92636.0,AGO,2011.0
Sergipe,77610.0,AGO,2011.0
Bahia,502116.0,AGO,2011.0
Minas Gerais,870932.0,AGO,2011.0
Espírito Santo,177589.0,AGO,2011.0
Rio de Janeiro,988657.0,AGO,2011.0
São Paulo,3043716.0,AGO,2011.0
Paraná,555405.0,AGO,2011.0
Santa Catarina,417276.0,AGO,2011.0
Rio Grande do Sul,648568.0,AGO,2011.0
Mato Grosso do Sul,123506.0,AGO,2011.0
Mato Grosso,192783.0,AGO,2011.0
Goiás,346603.0,AGO,2011.0
Distrito Federal,183419.0,AGO,2011.0
Rondônia,107380.0,SET,2011.0
Acre,39211.0,SET,2011.0
Amazonas,205056.0,SET,2011.0
Roraima,40465.0,SET,2011.0
Pará,300510.0,SET,2011.0
Amapá,48690.0,SET,2011.0
Tocantins,79204.0,SET,2011.0
Maranhão,254578.0,SET,2011.0
Piauí,138738.0,SET,2011.0
Ceará,318174.0,SET,2011.0
Rio Grande do Norte,155099.0,SET,2011.0
Paraíba,145020.0,SET,2011.0
Pernambuco,368883.0,SET,2011.0
Alagoas,99493.0,SET,2011.0
Sergipe,85014.0,SET,2011.0
Bahia,521558.0,SET,2011.0
Minas Gerais,848832.0,SET,2011.0
